text,label,department,source_doc_id,created_at
This official correspondence declares that Internal memo is a routine update regarding the upcoming rfq cycle for office furniture and equipment . Please begin preparing your lists for any new purchase order requests you anticipate for next roughly quarter . No immediate action is required at this time .,contract,Legal,69ac46f4ccf5a94c0439bdb9,2026-03-07T15:41:01.705199+00:00
This document states that Salary in amount USD20000 to be distributed amongst employees of each department has been approved by administration . This is not inclusive of the bonus . The TAX listings must be submitted by the finance department before salary is distributed .,salary_listing,Finance,69ac4990e7d088b51a5a2cca,2026-03-07T15:52:35.955167+00:00
"This document mentions: SERVICE AGREEMENT This Contract is entered between ABC Corporation and XYZ Solutions Pvt Ltd. The agreement defines scope of services, confidentiality obligations, payment terms, and termination clauses.",legal_contract,Legal,69bbdd561654008b724d8db7,2026-03-19T11:30:55.886538+00:00
"This document mentions: INVOICE Invoice No INV-1009 Date 15-Dec-2025 Vendor ACME Pvt Ltd Total Amount n74,104",tax_invoice,Finance,69bbdd101654008b724d8db5,2026-03-19T11:31:12.223564+00:00
"This CV outlines a career trajectory, emphasizing that Dr. Maya Reynolds, PsyD is a licensed clinical psychologist based in Santa Monica . She offers therapy for adults who feel overwhelmed by anxiety or the lingering effects of past experiences . Her work often focuses on anxiety, panic, trauma and burnout . Therapy can become a space to slow down",cv,HR,69bbdcab1654008b724d8da6,2026-03-19T11:31:22.152410+00:00
"The following information indicates that Standard Operating Procedure (SOP) - Operations defines the standard workflow followed by the Operations Department to manage inventory, logistics and vendor coordination . Process Description Inventory Check Daily monitoring of stock levels Vendor Coordination Communication with suppliers Logistics Management Scheduling shipment and delivery Approved by: Operations Manager.",operations_report,Operations,69bbdc921654008b724d8da4,2026-03-19T11:31:37.117004+00:00
"According to the content, the main point is that Standard Operating Procedure (SOP) - Operations defines the standard workflow followed by the Operations Department to manage inventory, logistics and vendor coordination . Process Description Inventory Check Daily monitoring of stock levels Vendor Coordination Communication with suppliers Logistics Management Scheduling shipment and delivery Approved by: Operations Manager.",operations_report,Operations,69bbdfef1654008b724d8db9,2026-03-19T11:41:29.564480+00:00
This document mentions: Date: 12/03/2026 This is a very urgent document sent by a very senior official of the government and needs immediate attention. This is an invoice for the materials supplied costing above INR 20 Cr. Sender: Administrative Head,invoice,Finance,69bbe120e83043f2616c5402,2026-03-19T11:43:07.639330+00:00
The text provided conveys information about Salary in amount USD20000 to be distributed amongst employees of each department has been approved by administration . This is not inclusive of the bonus. TAX listings must be submitted by finance department before salary is distributed . Review within 24 hours. HR and Finance should together publish the Slary inclusive,audit_report,Finance,69bbe16ee83043f2616c5404,2026-03-19T11:43:51.678332+00:00
"This document mentions: MONTHLY PERFORMANCE REPORT This report summarizes monthly KPIs, financial performance, operational metrics, and identified risks for management review. Metric Value Revenue Growth 12% Customer Satisfaction 89% Operational Uptime 99.2%",contract,Procurement,69bbe1a0e83043f2616c5406,2026-03-19T11:45:50.061549+00:00
"This official correspondence declares that Louis Ortega-Martinez's salary has been increased from $58,000 per year to $59,950 . The increase is effective as of April 1 and will appear in your paycheck starting April 15 .",appraisal_letter,HR,69bbe263e83043f2616c5408,2026-03-19T11:48:54.148796+00:00
"This CV outlines a career trajectory, emphasizing that Dr. Maya Reynolds, PsyD is a licensed clinical psychologist based in Santa Monica . She offers therapy for adults who feel overwhelmed by anxiety or the lingering effects of past experiences . Her work often focuses on anxiety, panic, trauma and burnout . Therapy can become a space to slow down",cv,HR,69bbe312e83043f2616c540a,2026-03-19T11:51:05.524079+00:00
"This document mentions: INVOICE Invoice No INV-1009 Date 15-Dec-2025 Vendor ACME Pvt Ltd Total Amount n74,104",invoice,Finance,69bbe360e83043f2616c5419,2026-03-19T11:52:18.140767+00:00
"The following information indicates that Laptop 15-inch 1 60,000 - $1,600 Wireless Mouse 2 800 1,600 Laptop Bag 1 1,200 1,800 Subtotal: 62,800 INR GST (18%): 11,304 INR Grand Total: 74,104 INR",expense_report,Finance,69bc088a9c2dffab251b6067,2026-03-19T14:31:11.546536+00:00
"This document mentions: INVOICE Invoice No INV-1009 Date 15-Dec-2025 Vendor ACME Pvt Ltd Total Amount n74,104",invoice,Finance,69bc08399c2dffab251b6065,2026-03-19T14:31:24.161582+00:00
"In this document, it is stated that Standard Operating Procedure (SOP) - Operations defines the standard workflow followed by the Operations Department to manage inventory, logistics and vendor coordination . Process Description Inventory Check Daily monitoring of stock levels Vendor Coordination Communication with suppliers Logistics Management Scheduling shipment and delivery Approved by: Operations Manager.",operations_report,Operations,69bc08009c2dffab251b6063,2026-03-19T14:31:28.135431+00:00
"This document mentions: RESUME Name: Rahul Verma Education: B.Tech Computer Science Skills: Python, Machine Learning, SQL, Docker Experience: Software Intern at TechCorp (6 months)",cv,HR,69bc09e59c2dffab251b6069,2026-03-19T14:38:55.360018+00:00
"This document mentions: SERVICE AGREEMENT This Contract is entered between ABC Corporation and XYZ Solutions Pvt Ltd. The agreement defines scope of services, confidentiality obligations, payment terms, and termination clauses.",contract,Legal,69bc0aaaa8c33641c3f117d6,2026-03-19T14:41:56.018282+00:00
"Based on the credentials provided, this professional summary showcases how Senior Lead UX Strategy & Design at Majesco, WFH Framer Websites User Experience Design . Pupil Anand has over 14 years of experience in System Thinking and digital transformation . He is currently driving the UX strategy & design team at Majeasco, pyush",cv,HR,69bc0baed8609f83de442928,2026-03-19T14:44:15.464664+00:00
"According to the content, the main point is that Standard Operating Procedure (SOP) - Operations defines the standard workflow followed by the Operations Department to manage inventory, logistics and vendor coordination . Process Description Inventory Check Daily monitoring of stock levels Vendor Coordination Communication with suppliers Logistics Management Scheduling shipment and delivery Approved by: Operations Manager.",operations_report,Operations,69bc0c09d8609f83de44292c,2026-03-19T14:50:04.346161+00:00
"This document mentions: INVOICE Invoice No INV-1009 Date 15-Dec-2025 Vendor ACME Pvt Ltd Total Amount n74,104",invoice,Finance,69bc0e43ab8d568d35ac0883,2026-03-19T14:55:27.496994+00:00
